blendshape_node,target_name,target_index,shape_classification,driving_method,immediate_driver_node,immediate_driver_attr,immediate_driver_type,ultimate_controller_attrs,details,current_weight
asFaceBS,brow_innerRaiser_R,0,primary,setDrivenKey,asFaceBS_brow_innerRaiser_R,asFaceBS_brow_innerRaiser_R.output,animCurveUU,ctrlBrow_R.translateX,"SDK input: ctrlBrow_R.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,brow_squeeze_L,10,primary,setDrivenKey,asFaceBS_brow_squeeze_L,asFaceBS_brow_squeeze_L.output,animCurveUU,ctrlBrow_L.squeeze,"SDK input: ctrlBrow_L.squeeze | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,brow_outerUpDown_L,11,primary,setDrivenKey,asFaceBS_brow_outerUpDown_L,asFaceBS_brow_outerUpDown_L.output,animCurveUU,ctrlBrow_L.outerUpDown,"SDK input: ctrlBrow_L.outerUpDown | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,eye_left_R,12,primary,setDrivenKey,asFaceBS_eye_left_R,asFaceBS_eye_left_R.output,animCurveUU,ctrlEye_R.translateX,"SDK input: ctrlEye_R.translateX | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,eye_right_R,13,primary,setDrivenKey,asFaceBS_eye_right_R,asFaceBS_eye_right_R.output,animCurveUU,ctrlEye_R.translateX,"SDK input: ctrlEye_R.translateX | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,eye_up_R,14,primary,setDrivenKey,asFaceBS_eye_up_R,asFaceBS_eye_up_R.output,animCurveUU,ctrlEye_R.translateY,"SDK input: ctrlEye_R.translateY | keys: (0.0 -> 0.0), (1.0 -> 1.0)",0.0
asFaceBS,eye_down_R,15,primary,setDrivenKey,asFaceBS_eye_down_R,asFaceBS_eye_down_R.output,animCurveUU,ctrlEye_R.translateY,"SDK input: ctrlEye_R.translateY | keys: (-1.0 -> 1.0), (0.0 -> 0.0)",0.0
asFaceBS,ctrlEyewide_R,16,primary,setDrivenKey,asFaceBS_ctrlEyewide_R,asFaceBS_ctrlEyewide_R.output,animCurveUU,ctrlEye_R.wide,"SDK input: ctrlEye_R.wide | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,blink_R,17,primary,setDrivenKey,asFaceBS_blink_R,asFaceBS_blink_R.output,animCurveUU,ctrlEye_R.blink,"SDK input: ctrlEye_R.blink | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
asFaceBS,squint_R,18,primary,setDrivenKey,asFaceBS_squint_R,asFaceBS_squint_R.output,animCurveUU,ctrlEye_R.squint,"SDK input: ctrlEye_R.squint | keys: (0.0 -> 0.0), (10.0 -> 1.0)",0.0
